# tag=crsbx selfjob=False probePid=23452 rootChildPid=61712
# jobPidListCount=9 treeCount=9
PID	PPID	DEPTH	NAME	CREATED	IN_OUR_JOB	IN_ANY_JOB	IN_JOB_PIDLIST	NOTE
61712	23452	0	node.exe	134312198439902263	YES	YES	YES	
23628	61712	1	conhost.exe	134312198440005561	YES	YES	YES	
63588	61712	1	chrome.exe	134312198443592432	YES	YES	YES	
26684	63588	2	chrome.exe	134312198446349446	YES	YES	YES	
33756	63588	2	chrome.exe	134312198445323050	YES	YES	YES	
49900	63588	2	chrome.exe	134312198445664568	YES	YES	YES	
53120	63588	2	chrome.exe	134312198443815572	YES	YES	YES	
59284	63588	2	chrome.exe	134312198445433103	YES	YES	YES	
73088	63588	2	chrome.exe	134312198446446604	YES	YES	YES	
# ESCAPEES(in tree, not in our job)=0
