# tag=crsbx3 selfjob=False probePid=66096 rootChildPid=10772
# jobPidListCount=10 treeCount=10
PID	PPID	DEPTH	NAME	CREATED	IN_OUR_JOB	IN_ANY_JOB	IN_JOB_PIDLIST	NOTE
10772	66096	0	node.exe	134312200036119924	YES	YES	YES	
50928	10772	1	conhost.exe	134312200036217397	YES	YES	YES	
67792	10772	1	chrome.exe	134312200039549353	YES	YES	YES	
44576	67792	2	chrome.exe	134312200042585384	YES	YES	YES	
45856	67792	2	chrome.exe	134312200042583598	YES	YES	YES	
57684	67792	2	chrome.exe	134312200039858467	YES	YES	YES	
61712	67792	2	chrome.exe	134312200041567150	YES	YES	YES	
64240	67792	2	chrome.exe	134312200041886161	YES	YES	YES	
70880	67792	2	chrome.exe	134312200041493157	YES	YES	YES	
55248	57684	3	chrome.exe	134312200040095472	YES	YES	YES	
# ESCAPEES(in tree, not in our job)=0
