# tag=ff selfjob=False probePid=75400 rootChildPid=48520
# jobPidListCount=9 treeCount=9
PID	PPID	DEPTH	NAME	CREATED	IN_OUR_JOB	IN_ANY_JOB	IN_JOB_PIDLIST	NOTE
48520	75400	0	node.exe	134312200519725854	YES	YES	YES	
15180	48520	1	conhost.exe	134312200519824386	YES	YES	YES	
77468	48520	1	firefox.exe	134312200523502700	YES	YES	YES	
14124	77468	2	firefox.exe	134312200529819975	YES	YES	YES	
19252	14124	3	firefox.exe	134312200537873577	YES	YES	YES	
37812	14124	3	firefox.exe	134312200535296347	YES	YES	YES	
52228	14124	3	firefox.exe	134312200540574508	YES	YES	YES	
70888	14124	3	firefox.exe	134312200538853624	YES	YES	YES	
78408	14124	3	firefox.exe	134312200548495612	YES	YES	YES	
# ESCAPEES(in tree, not in our job)=0
