# tag=jlistcr selfjob=False probePid=78460 rootChildPid=57416
# jobPidListCount=9 treeCount=9
PID	PPID	DEPTH	NAME	CREATED	IN_OUR_JOB	IN_ANY_JOB	IN_JOB_PIDLIST	NOTE
57416	78460	0	node.exe	134312205371778582	YES	YES	YES	
36028	57416	1	chrome.exe	134312205375201258	YES	YES	YES	seed(job-notified)
41664	36028	1	chrome.exe	134312205377971724	YES	YES	YES	seed(job-notified)
50308	36028	1	chrome.exe	134312205377369026	YES	YES	YES	seed(job-notified)
55236	36028	1	chrome.exe	134312205377971991	YES	YES	YES	seed(job-notified)
60292	57416	1	conhost.exe	134312205371867243	YES	YES	YES	seed(job-notified)
69392	36028	1	chrome.exe	134312205375538255	YES	YES	YES	seed(job-notified)
73184	36028	1	chrome.exe	134312205377042103	YES	YES	YES	seed(job-notified)
78204	36028	1	chrome.exe	134312205377127712	YES	YES	YES	seed(job-notified)
# ESCAPEES(in tree, not in our job)=0
