"FullName","Length","LastWriteTime"
"C:\Users\jori\AppData\Local\BrowserAI\browsers",,"15-9-2026 13:01:48"
"C:\Users\jori\AppData\Local\BrowserAI\index",,"15-9-2026 16:14:24"
"C:\Users\jori\AppData\Local\BrowserAI\instances",,"15-9-2026 16:14:29"
"C:\Users\jori\AppData\Local\BrowserAI\live",,"15-9-2026 16:14:29"
"C:\Users\jori\AppData\Local\BrowserAI\logs",,"15-9-2026 16:08:09"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\.links",,"16-8-2026 12:47:13"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\.settings",,"18-8-2026 16:13:38"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243",,"14-9-2026 19:26:56"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1244",,"15-9-2026 07:37:22"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\ffmpeg-1011",,"16-8-2026 12:47:25"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\firefox-1542",,"14-9-2026 19:28:19"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\firefox-1544",,"15-9-2026 07:44:22"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\winldd-1007",,"16-8-2026 12:47:25"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\reinstall.lock","133","20-8-2026 12:56:30"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\.links\5395305f202ac364629163c6ad75e29036a49f19","69","15-9-2026 13:01:48"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\.settings\dashboard.json","18","18-8-2026 16:18:00"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64",,"14-9-2026 19:26:59"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\DEPENDENCIES_VALIDATED","0","7-9-2026 10:27:19"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\INSTALLATION_COMPLETE","0","7-9-2026 10:27:14"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\hyphen-data",,"14-9-2026 19:26:59"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\IwaKeyDistribution",,"14-9-2026 19:26:59"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\locales",,"14-9-2026 19:26:59"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\MEIPreload",,"14-9-2026 19:26:59"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\PrivacySandboxAttestationsPreloaded",,"14-9-2026 19:26:59"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\resources",,"14-9-2026 19:26:59"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\153.0.8010.12.manifest","226","7-9-2026 10:27:11"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\ABOUT","257","7-9-2026 10:27:11"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\chrome_100_percent.pak","737731","7-9-2026 10:27:13"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\chrome_200_percent.pak","1286352","7-9-2026 10:27:13"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\chrome_elf.dll","2729984","7-9-2026 10:27:13"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\chrome_proxy.exe","2553344","7-9-2026 10:27:13"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\chrome_pwa_launcher.exe","3182592","7-9-2026 10:27:13"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\chrome_wer.dll","115200","7-9-2026 10:27:13"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\chrome.dll","301124096","7-9-2026 10:27:13"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\chrome.exe","4508160","7-9-2026 10:27:13"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\D3DCompiler_47.dll","4753864","7-9-2026 10:27:11"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\dxcompiler.dll","25830400","7-9-2026 10:27:13"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\dxil.dll","1503728","7-9-2026 10:27:13"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\elevated_tracing_service.exe","4485120","7-9-2026 10:27:13"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\elevation_service.exe","3840512","7-9-2026 10:27:13"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\First Run","8","7-9-2026 10:27:11"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\icudtl.dat","10823536","7-9-2026 10:27:13"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\libEGL.dll","453120","7-9-2026 10:27:13"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\libGLESv2.dll","453120","7-9-2026 10:27:13"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\notification_helper.exe","2786304","7-9-2026 10:27:14"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\resources.pak","22880170","7-9-2026 10:27:14"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\setup.exe","6154240","7-9-2026 10:27:14"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\v8_context_snapshot.bin","747232","7-9-2026 10:27:14"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\vk_swiftshader_icd.json","106","7-9-2026 10:27:14"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\vk_swiftshader.dll","5419008","7-9-2026 10:27:14"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\vulkan-1.dll","986624","7-9-2026 10:27:14"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\hyphen-data\hyph-af.hyb","72640","7-9-2026 10:27:14"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\hyphen-data\hyph-as.hyb","703","7-9-2026 10:27:14"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\hyphen-data\hyph-be.hyb","6098","7-9-2026 10:27:14"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\hyphen-data\hyph-bg.hyb","3467","7-9-2026 10:27:14"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\hyphen-data\hyph-bn.hyb","703","7-9-2026 10:27:14"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\hyphen-data\hyph-cs.hyb","64245","7-9-2026 10:27:14"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\hyphen-data\hyph-cu.hyb","52842","7-9-2026 10:27:14"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\hyphen-data\hyph-cy.hyb","35913","7-9-2026 10:27:14"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\hyphen-data\hyph-da.hyb","6967","7-9-2026 10:27:14"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\hyphen-data\hyph-de-1901.hyb","121393","7-9-2026 10:27:14"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\hyphen-data\hyph-de-1996.hyb","120412","7-9-2026 10:27:14"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\hyphen-data\hyph-de-ch-1901.hyb","120218","7-9-2026 10:27:14"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\hyphen-data\hyph-el.hyb","4219","7-9-2026 10:27:14"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\hyphen-data\hyph-en-gb.hyb","46607","7-9-2026 10:27:14"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\hyphen-data\hyph-en-us.hyb","59802","7-9-2026 10:27:14"
