"ProcessId","ParentProcessId","ExecutablePath","CommandLine"
"53236","48488","C:\Users\jori\AppData\Local\BrowserAI-rc\current\BrowserAI.exe","C:\Users\jori\AppData\Local\BrowserAI-rc\current\BrowserAI.exe"
"25164","53236","C:\Users\jori\AppData\Local\BrowserAI-rc\current\payload\node\node.exe","C:\Users\jori\AppData\Local\BrowserAI-rc\current\payload\node\node.exe C:\Users\jori\AppData\Local\BrowserAI-rc\current\payload\mcp\node_modules\@playwright\mcp\cli.js --config C:\Users\jori\AppData\Local\BrowserAI-rc\instances\53236-e4c744bad4574895aacc2fda84cddd57\playwright-mcp.config.json --sandbox"
"11232","52488","C:\Users\jori\AppData\Local\BrowserAI-rc\current\BrowserAI.exe","C:\Users\jori\AppData\Local\BrowserAI-rc\current\BrowserAI.exe"
"50704","11232","C:\Users\jori\AppData\Local\BrowserAI-rc\current\payload\node\node.exe","C:\Users\jori\AppData\Local\BrowserAI-rc\current\payload\node\node.exe C:\Users\jori\AppData\Local\BrowserAI-rc\current\payload\mcp\node_modules\@playwright\mcp\cli.js --config C:\Users\jori\AppData\Local\BrowserAI-rc\instances\11232-5c607c32a7d34d5fb471a286f25c0c8d\playwright-mcp.config.json --sandbox"
"79392","3500","C:\Users\jori\AppData\Local\BrowserAI-rc\current\BrowserAI.exe","C:\Users\jori\AppData\Local\BrowserAI-rc\current\BrowserAI.exe"
"56676","79392","C:\Users\jori\AppData\Local\BrowserAI-rc\current\payload\node\node.exe","C:\Users\jori\AppData\Local\BrowserAI-rc\current\payload\node\node.exe C:\Users\jori\AppData\Local\BrowserAI-rc\current\payload\mcp\node_modules\@playwright\mcp\cli.js --config C:\Users\jori\AppData\Local\BrowserAI-rc\instances\79392-c2bb3052d7344f5eb5f6a9659563c2c8\playwright-mcp.config.json --sandbox"
"3316","34028","C:\Users\jori\AppData\Local\BrowserAI-rc\current\BrowserAI.exe","C:\Users\jori\AppData\Local\BrowserAI-rc\current\BrowserAI.exe"
"62440","3316","C:\Users\jori\AppData\Local\BrowserAI-rc\current\payload\node\node.exe","C:\Users\jori\AppData\Local\BrowserAI-rc\current\payload\node\node.exe C:\Users\jori\AppData\Local\BrowserAI-rc\current\payload\mcp\node_modules\@playwright\mcp\cli.js --config C:\Users\jori\AppData\Local\BrowserAI-rc\instances\3316-1a6a30f9255c4ce7a3709c2bf05fe854\playwright-mcp.config.json --sandbox"
"13756","61468","C:\Users\jori\AppData\Local\BrowserAI-rc\current\BrowserAI.exe","C:\Users\jori\AppData\Local\BrowserAI-rc\current\BrowserAI.exe"
"67524","13756","C:\Users\jori\AppData\Local\BrowserAI-rc\current\payload\node\node.exe","C:\Users\jori\AppData\Local\BrowserAI-rc\current\payload\node\node.exe C:\Users\jori\AppData\Local\BrowserAI-rc\current\payload\mcp\node_modules\@playwright\mcp\cli.js --config C:\Users\jori\AppData\Local\BrowserAI-rc\instances\13756-9b7fca1a6a1c4330bfea7829c4648377\playwright-mcp.config.json --sandbox"
"65444","110380","C:\Users\jori\AppData\Local\BrowserAI-rc\current\BrowserAI.exe","C:\Users\jori\AppData\Local\BrowserAI-rc\current\BrowserAI.exe"
"90440","65444","C:\Users\jori\AppData\Local\BrowserAI-rc\current\payload\node\node.exe","C:\Users\jori\AppData\Local\BrowserAI-rc\current\payload\node\node.exe C:\Users\jori\AppData\Local\BrowserAI-rc\current\payload\mcp\node_modules\@playwright\mcp\cli.js --config C:\Users\jori\AppData\Local\BrowserAI-rc\instances\65444-60e9b48e618149cc9ddbcb83e6357798\playwright-mcp.config.json --sandbox"
"71396","115796","C:\Users\jori\AppData\Local\BrowserAI-rc\current\BrowserAI.exe","C:\Users\jori\AppData\Local\BrowserAI-rc\current\BrowserAI.exe"
"104008","71396","C:\Users\jori\AppData\Local\BrowserAI-rc\current\payload\node\node.exe","C:\Users\jori\AppData\Local\BrowserAI-rc\current\payload\node\node.exe C:\Users\jori\AppData\Local\BrowserAI-rc\current\payload\mcp\node_modules\@playwright\mcp\cli.js --config C:\Users\jori\AppData\Local\BrowserAI-rc\instances\71396-36e7d3a9d3da4ef684d895945a47a651\playwright-mcp.config.json --sandbox"
"83248","60176","C:\Users\jori\AppData\Local\BrowserAI-rc\current\BrowserAI.exe","C:\Users\jori\AppData\Local\BrowserAI-rc\current\BrowserAI.exe"
"106444","83248","C:\Users\jori\AppData\Local\BrowserAI-rc\current\payload\node\node.exe","C:\Users\jori\AppData\Local\BrowserAI-rc\current\payload\node\node.exe C:\Users\jori\AppData\Local\BrowserAI-rc\current\payload\mcp\node_modules\@playwright\mcp\cli.js --config C:\Users\jori\AppData\Local\BrowserAI-rc\instances\83248-7af9b7b39c9d4d8eb1a49d3f3740ed45\playwright-mcp.config.json --sandbox"
"117056","89972","C:\Users\jori\AppData\Local\BrowserAI-rc\current\BrowserAI.exe","C:\Users\jori\AppData\Local\BrowserAI-rc\current\BrowserAI.exe"
"57808","117056","C:\Users\jori\AppData\Local\BrowserAI-rc\current\payload\node\node.exe","C:\Users\jori\AppData\Local\BrowserAI-rc\current\payload\node\node.exe C:\Users\jori\AppData\Local\BrowserAI-rc\current\payload\mcp\node_modules\@playwright\mcp\cli.js --config C:\Users\jori\AppData\Local\BrowserAI-rc\instances\117056-56abf97233d84052adc865f0e83c6e55\playwright-mcp.config.json --sandbox"
