"FullName","Length","LastWriteTime"
"C:\Users\jori\AppData\Local\BrowserAI-rc\browsers",,"6-9-2026 17:10:04"
"C:\Users\jori\AppData\Local\BrowserAI-rc\current",,"6-9-2026 17:08:16"
"C:\Users\jori\AppData\Local\BrowserAI-rc\index",,"12-9-2026 14:02:55"
"C:\Users\jori\AppData\Local\BrowserAI-rc\instances",,"15-9-2026 16:29:34"
"C:\Users\jori\AppData\Local\BrowserAI-rc\live",,"15-9-2026 16:31:35"
"C:\Users\jori\AppData\Local\BrowserAI-rc\logs",,"15-9-2026 06:57:16"
"C:\Users\jori\AppData\Local\BrowserAI-rc\packages",,"6-9-2026 17:08:16"
"C:\Users\jori\AppData\Local\BrowserAI-rc\BrowserAI.exe","393216","6-9-2026 17:08:16"
"C:\Users\jori\AppData\Local\BrowserAI-rc\mcp-registration.json","601","6-9-2026 17:08:18"
"C:\Users\jori\AppData\Local\BrowserAI-rc\Update.exe","3866112","6-9-2026 17:08:16"
"C:\Users\jori\AppData\Local\BrowserAI-rc\browsers\.downloads",,"6-9-2026 17:09:52"
"C:\Users\jori\AppData\Local\BrowserAI-rc\browsers\.links",,"6-9-2026 17:09:53"
"C:\Users\jori\AppData\Local\BrowserAI-rc\browsers\chromium-1237",,"6-9-2026 17:10:04"
"C:\Users\jori\AppData\Local\BrowserAI-rc\browsers\ffmpeg-1011",,"6-9-2026 17:10:04"
"C:\Users\jori\AppData\Local\BrowserAI-rc\browsers\winldd-1007",,"6-9-2026 17:10:04"
"C:\Users\jori\AppData\Local\BrowserAI-rc\browsers\reinstall.lock","0","6-9-2026 17:08:49"
"C:\Users\jori\AppData\Local\BrowserAI-rc\browsers\.downloads\chromium",,"6-9-2026 17:10:04"
"C:\Users\jori\AppData\Local\BrowserAI-rc\browsers\.links\ca191f30bd1a3eaf93470c4312b212323e743b41","89","6-9-2026 17:09:53"
"C:\Users\jori\AppData\Local\BrowserAI-rc\browsers\chromium-1237\chrome-win64",,"6-9-2026 17:10:03"
