path,bytes,human,files,last_write,verdict,created_by,note
C:\Users\jori\AppData\Local\BrowserAI,823928278,785.8 MiB,406,2026-09-15 17:25:13,KEEP,BrowserAI LocalAppDataPaths.Default (data root),"Every child matches the current layout: browsers/ index/ instances/ logs/ live/ mcp-registration.json. No old-layout residue at the root (no lock, browserai.json, browserai.lock, browserai.data)."
C:\Users\jori\AppData\Local\BrowserAI\browsers,816820899,779.0 MiB,378,2026-09-15 17:27:44,KEEP,BrowserProvisioner (IAppPaths.BrowsersDirectory),"chromium-1244, firefox-1544, ffmpeg-1011, winldd-1007, .downloads, .links, reinstall.lock. Current revisions only."
C:\Users\jori\AppData\Local\BrowserAI\logs\browserai-20260915-000.log,7092623,6.8 MiB,1,2026-09-16 00:38:03,KEEP,BrowserAI log (IAppPaths.LogDirectory),The live log the running install appends to. 6.8 MiB and growing; only rotation would shrink it.
C:\Users\jori\AppData\Local\BrowserAI\index,296,296 B,3,2026-09-16 00:37:29,ASK,SessionIndex (IAppPaths.IndexDirectory),"Three entries, all naming .work/test-scratch/sessions-c365ddd2.../{alpha,gamma-copy,gamma-moved}, which still exist. They dangle the moment .work/test-scratch is swept."
C:\Users\jori\AppData\Local\BrowserAI\live,0,0 B,0,2026-09-16 00:37:32,KEEP,LiveInstances.DirectoryUnder(data root) for a NON-installed process,"Empty. Per LiveInstances the markers are keyed to the INSTALL root; an uninstalled (dotnet run / test host) process passes its data root instead, which is what made this directory. The current layout does produce it."
C:\Users\jori\AppData\Local\BrowserAI\mcp-registration.json,591,591 B,1,2026-09-15 16:36:40,KEEP,RegistrationRecord.FileName,Records the 2026-09-15 install; command points at BrowserAI.app\current\BrowserAI.exe.
C:\Users\jori\AppData\Local\BrowserAI\instances\104168-d2e23afff94d4f6aa95231db3c102935,2349,2.3 KiB,3,2026-09-16 00:34:44,GARBAGE,InstanceDirectory (IAppPaths.InstanceRoot),pid 104168 is dead; instance directory left behind by the 2026-09-16 00:34-00:35 run
C:\Users\jori\AppData\Local\BrowserAI\instances\117628-db2906348c0f444e819ad90e69512648,1155,1.1 KiB,2,2026-09-16 00:34:57,GARBAGE,InstanceDirectory (IAppPaths.InstanceRoot),pid 117628 is dead; instance directory left behind by the 2026-09-16 00:34-00:35 run
C:\Users\jori\AppData\Local\BrowserAI\instances\20836-bdc78e50cd304648a903389a8154bc38,1152,1.1 KiB,2,2026-09-16 00:34:57,GARBAGE,InstanceDirectory (IAppPaths.InstanceRoot),pid 20836 is dead; instance directory left behind by the 2026-09-16 00:34-00:35 run
C:\Users\jori\AppData\Local\BrowserAI\instances\61980-d207c0f700264dc5b96c65261888ffaa,1152,1.1 KiB,2,2026-09-16 00:34:59,GARBAGE,InstanceDirectory (IAppPaths.InstanceRoot),pid 61980 is dead; instance directory left behind by the 2026-09-16 00:34-00:35 run
C:\Users\jori\AppData\Local\BrowserAI\instances\6372-bd23a768638843d090afd30417ccf647,1149,1.1 KiB,2,2026-09-16 00:34:59,GARBAGE,InstanceDirectory (IAppPaths.InstanceRoot),pid 6372 is dead; instance directory left behind by the 2026-09-16 00:34-00:35 run
C:\Users\jori\AppData\Local\BrowserAI\instances\73668-4182d853558740b184e309575f6b82ec,1152,1.1 KiB,2,2026-09-16 00:35:04,GARBAGE,InstanceDirectory (IAppPaths.InstanceRoot),pid 73668 is dead; instance directory left behind by the 2026-09-16 00:34-00:35 run
C:\Users\jori\AppData\Local\BrowserAI\instances\48752-594847f6c5244be68e17d11d3166c686,1152,1.1 KiB,2,2026-09-15 22:40:33,KEEP,InstanceDirectory (IAppPaths.InstanceRoot),pid 48752 is ALIVE (BrowserAI.exe out of BrowserAI.app\current) and holds instance.live
C:\Users\jori\AppData\Local\BrowserAI\instances\68140-9f53f96e0f83492c91309bb715f8b766,1152,1.1 KiB,2,2026-09-15 22:54:26,KEEP,InstanceDirectory (IAppPaths.InstanceRoot),pid 68140 is ALIVE (BrowserAI.exe out of BrowserAI.app\current) and holds instance.live
C:\Users\jori\AppData\Local\BrowserAI\instances\68852-ce1720fdcd4a4f0fa8b99147b9ecd36d,1152,1.1 KiB,2,2026-09-15 22:40:26,KEEP,InstanceDirectory (IAppPaths.InstanceRoot),pid 68852 is ALIVE (BrowserAI.exe out of BrowserAI.app\current) and holds instance.live
C:\Users\jori\AppData\Local\BrowserAI\instances\76192-e8e7f1b0823f42b194911165b84a6da5,1152,1.1 KiB,2,2026-09-15 22:04:37,KEEP,InstanceDirectory (IAppPaths.InstanceRoot),pid 76192 is ALIVE (BrowserAI.exe out of BrowserAI.app\current) and holds instance.live
C:\Users\jori\AppData\Local\BrowserAI\instances\83980-a1c18cb1f34c448caae56f5e0ed08884,1152,1.1 KiB,2,2026-09-16 00:26:10,KEEP,InstanceDirectory (IAppPaths.InstanceRoot),pid 83980 is ALIVE (BrowserAI.exe out of BrowserAI.app\current) and holds instance.live
C:\Users\jori\AppData\Local\BrowserAI.app,187428620,178.7 MiB,214,2026-09-16 00:38:02,KEEP,"Velopack installer, pack id BrowserAI.app","The current install: current\ (BrowserAI.exe 1.0.0), Update.exe, live\ (5 held markers matching 5 live pids), packages\."
C:\Users\jori\AppData\Local\BrowserAI.app\packages\BrowserAI.app-1.0.0-full.nupkg,50198035,47.9 MiB,1,2026-09-15 16:36:36,ASK,Velopack,The installed package Velopack keeps so a delta can be applied against it. Deleting it forces the next update to take a full package; it is not stale.
C:\Users\jori\AppData\Local\BrowserAI-rc,0,0 B,0,ABSENT,KEEP,"RC install, uninstalled 2026-09-15",ABSENT - confirmed gone. Nothing to delete.
C:\Users\jori\AppData\Local\BrowserAI-test-scratch,0,0 B,0,2026-09-16 00:35:53,GARBAGE,the real-installer test arm (BROWSERAI_ROOT override),"Empty directory. velopack_BrowserAI.app.test.log ends by scheduling rmdir of BrowserAI-test-scratch\real-install-window-255debdc...; the child went, the parent did not."
C:\Users\jori\AppData\Local\velopack\velopack_BrowserAI.log,166702,162.8 KiB,1,2026-09-15 16:32:38,GARBAGE,"Velopack, OLD pack id ""BrowserAI""",Last entry 2026-09-15 16:32:38 running the --veloapp-uninstall fast-exit hook. That pack id no longer exists.
C:\Users\jori\AppData\Local\velopack\velopack_BrowserAI.app.test.log,287974,281.2 KiB,1,2026-09-16 00:35:53,GARBAGE,"Velopack, TEST pack id ""BrowserAI.app.test""",Last entry 2026-09-16 00:35:53 scheduling removal of the test install root. The test pack is uninstalled and has no ARP key.
C:\Users\jori\AppData\Local\velopack\velopack_BrowserAI.app.log,166153,162.3 KiB,1,2026-09-16 00:38:03,KEEP,"Velopack, CURRENT pack id ""BrowserAI.app""",The live install log; last entry 2026-09-16 00:38:03 polling releases.win.json.
C:\Users\jori\AppData\Local\velopack\velopack.log,15672423,14.9 MiB,1,2026-09-16 00:36:02,ASK,Velopack shared log (all pack ids and unpackaged runs),"15.0 MiB. The current install still appends to it, so it is not stale - it is just large."
C:\Users\jori\AppData\Local\SquirrelTemp,458033,447.3 KiB,3,2026-09-03 13:00:47,ASK,"NOT OURS - classic Squirrel: GitHub Desktop, Discord, Teams","Squirrel-Install.log installs GitHubDesktop (2023-05-15 .. 2026-09-03), SquirrelSetup.log installs Discord, setup.json names Teams_windows_x64.exe. grep -c browserai = 0 in both logs. Unrelated to BrowserAI."
C:\Users\jori\AppData\Local\ms-playwright,3032501618,2.8 GiB,31220,2026-09-07 10:27:19,ASK,NOT OURS except the b\ subtree below - npx / other-project Playwright installs,"chromium-1200/1223/1234/1243 + headless shells + ffmpeg-1011 + winldd-1007 + mcp-chrome-4c8abff (2026-04) + mcp-chrome-8e8f280 (2026-03) predate or sit outside BrowserAI, which provisions into %LocalAppData%\BrowserAI\browsers. The size given is the WHOLE tree, b\ included."
C:\Users\jori\AppData\Local\ms-playwright\b,44652496,42.6 MiB,26891,2026-09-16 00:37:28,GARBAGE,OURS - playwright-core debug/attribution records from this repo's own suite runs,"26,891 browser@<guid> JSON files, 2026-08-14 05:36 .. 2026-09-16 00:37. 26,888 of them carry playwrightLib = <repo>\src\BrowserAI\bin\Release\...\payload\mcp\node_modules\playwright-core and a downloadsPath under .work\test-scratch; ZERO name BrowserAI.app. Written to defaultCacheDirectory(), which PLAYWRIGHT_BROWSERS_PATH does not move. Nothing prunes it."
C:\Users\jori\AppData\Local\ms-playwright-mcp,173612736,165.6 MiB,1881,2026-09-15 08:07:24,GARBAGE,upstream @playwright/mcp default profile fallback (unset browser.userDataDir),11 profile dirs. 7 x mcp-chrome-* dated 2026-08-20 (121.0 MiB) are the leak documented in kb/re-verification.md row 66. 4 x mcp-chrome-for-testing-* dated 2026-09-15 07:41-08:08 (52.6 MiB) fall inside the upstream-review window whose bare control install is .work/2026-09-15-upstream/control/node_modules/@playwright/mcp - I could NOT prove which process wrote those four. Row 66 prescribes deleting the whole directory and requiring it to stay absent.
C:\Users\jori\AppData\Local\Temp\playwright-artifacts-* (300 directories),0,0 B,0,2026-09-16 00:35,GARBAGE,playwright-core per-context artifact dirs (child of BrowserAI),All empty. 2026-09-15 09:13 .. 2026-09-16 00:35 - produced by yesterday and today suite/session runs and never removed.
C:\Users\jori\AppData\Local\Temp\playwright_chromiumdev_profile-* (2 directories),0,0 B,0,2026-09-15 18:11,GARBAGE,playwright-core throwaway chromium profile dirs,"Both empty, 2026-09-15 18:10 and 18:11."
C:\Users\jori\AppData\Local\Temp\velopack,0,0 B,0,2026-09-16 00:19:03,GARBAGE,Velopack scratch,"Empty directory, created 2026-09-16 00:18."
C:\Source\SixFive7\BrowserAI\Releases\BrowserAI.app-1.0.1-alpha.0.19-full.nupkg,54855082,52.3 MiB,1,2026-09-16 00:10:48,KEEP,"vpk pack, current head",Head of the local feed; named by assets.win.json and releases.win.json.
C:\Source\SixFive7\BrowserAI\Releases\BrowserAI.app-1.0.1-alpha.0.19-delta.nupkg,10842738,10.3 MiB,1,2026-09-16 00:10:51,KEEP,"vpk pack, current head",Named by assets.win.json.
C:\Source\SixFive7\BrowserAI\Releases\BrowserAI.exe,59354538,56.6 MiB,1,2026-09-16 00:10:49,KEEP,"vpk pack, current head installer",
C:\Source\SixFive7\BrowserAI\Releases\BrowserAI.zip,54826013,52.3 MiB,1,2026-09-16 00:10:48,KEEP,"vpk pack, current head portable",
C:\Source\SixFive7\BrowserAI\Releases\BrowserAI.app-1.0.1-alpha.0.2-full.nupkg,50200401,47.9 MiB,1,2026-09-15 18:07:40,ASK,"vpk pack 2026-09-15 18:07, superseded by alpha.0.19","Still listed in Releases\RELEASES and Releases\releases.win.json, so deleting it leaves the local feed naming a file that is not there. A copy is in Releases\archive."
C:\Source\SixFive7\BrowserAI\Releases\BrowserAI.app-1.0.1-alpha.0.2-delta.nupkg,3194513,3.0 MiB,1,2026-09-15 18:07:42,ASK,"vpk pack 2026-09-15 18:07, superseded",Listed in releases.win.json. No copy in Releases\archive.
