      59ms 11:34:15.044 launched pwsh pid=45840 (Start-Process -WindowStyle Hidden -RedirectStandardOutput)
     114ms 11:34:15.086 new process pid=77940 exe=conhost.exe ppid=45840 created=13:34:15.0294015 path=C:\Windows\System32\conhost.exe
     132ms 11:34:15.103 window pid=45840 (pwsh (launched)) hwnd=0x660BF8 class='ConsoleWindowClass' title='C:\Program Files\PowerShell\7\pwsh.exe' visible=False rect=390,390-1383,909
     134ms 11:34:15.106 window pid=77940 (conhost.exe) hwnd=0x570E1E class='IME' title='Default IME' visible=False rect=0,0-0,0
     572ms 11:34:15.543 new process pid=69948 exe=conhost.exe ppid=68784 created=13:34:15.4089650 path=C:\Windows\System32\conhost.exe
     573ms 11:34:15.545 new process pid=65408 exe=conhost.exe ppid=55764 created=13:34:15.4703298 path=C:\Windows\System32\conhost.exe
    1587ms 11:34:16.559 new process pid=65096 exe=conhost.exe ppid=70584 created=13:34:16.5054970 path=C:\Windows\System32\conhost.exe
    1588ms 11:34:16.560 new process pid=56484 exe=conhost.exe ppid=96236 created=13:34:16.5063416 path=C:\Windows\System32\conhost.exe
    2042ms 11:34:17.014 new process pid=80452 exe=conhost.exe ppid=88616 created= path=
    2183ms 11:34:17.155 new process pid=74292 exe=conhost.exe ppid=89344 created=13:34:17.0666444 path=C:\Windows\System32\conhost.exe
    2466ms 11:34:17.438 new process pid=87880 exe=conhost.exe ppid=92556 created=13:34:17.3962070 path=C:\Windows\System32\conhost.exe
    2609ms 11:34:17.581 new process pid=93808 exe=conhost.exe ppid=94104 created=13:34:17.4906674 path=C:\Windows\System32\conhost.exe
    2610ms 11:34:17.582 new process pid=18104 exe=conhost.exe ppid=84240 created=13:34:17.5174939 path=C:\Windows\System32\conhost.exe
    2623ms 11:34:17.595 new process pid=16060 exe=conhost.exe ppid=89992 created=13:34:17.5181428 path=C:\Windows\System32\conhost.exe
    3627ms 11:34:18.598 screenshot 6720x2560 at virtual origin -1440,-387 -> logs\I1-screenshot.png
    3752ms 11:34:18.724 new process pid=80476 exe=conhost.exe ppid=82292 created= path=
    4724ms 11:34:19.695 new process pid=77228 exe=conhost.exe ppid=15736 created=13:34:19.6243400 path=C:\Windows\System32\conhost.exe
    4725ms 11:34:19.696 new process pid=85464 exe=conhost.exe ppid=63440 created=13:34:19.6595905 path=C:\Windows\System32\conhost.exe
    4726ms 11:34:19.698 new process pid=76480 exe=conhost.exe ppid=84564 created=13:34:19.6596758 path=C:\Windows\System32\conhost.exe
    4901ms 11:34:19.872 new process pid=98316 exe=conhost.exe ppid=84648 created=13:34:19.8428302 path=C:\Windows\System32\conhost.exe
    4902ms 11:34:19.873 new process pid=58292 exe=conhost.exe ppid=62140 created=13:34:19.8453977 path=C:\Windows\System32\conhost.exe
    5622ms 11:34:20.594 new process pid=77240 exe=conhost.exe ppid=99372 created=13:34:20.5264419 path=C:\Windows\System32\conhost.exe
    6187ms 11:34:21.158 new process pid=66988 exe=conhost.exe ppid=95732 created=13:34:21.1177100 path=C:\Windows\System32\conhost.exe
    6331ms 11:34:21.303 new process pid=74840 exe=conhost.exe ppid=61668 created=13:34:21.2623322 path=C:\Windows\System32\conhost.exe
    6332ms 11:34:21.304 new process pid=86960 exe=conhost.exe ppid=72548 created=13:34:21.2666073 path=C:\Windows\System32\conhost.exe
    6627ms 11:34:21.599 new process pid=77536 exe=conhost.exe ppid=77808 created=13:34:21.5199754 path=C:\Windows\System32\conhost.exe
    6628ms 11:34:21.600 new process pid=75128 exe=conhost.exe ppid=81084 created=13:34:21.5502802 path=C:\Windows\System32\conhost.exe
    6918ms 11:34:21.890 new process pid=87920 exe=conhost.exe ppid=73552 created= path=
    7212ms 11:34:22.183 new process pid=69324 exe=conhost.exe ppid=36176 created=13:34:22.1100789 path=C:\Windows\System32\conhost.exe
    7776ms 11:34:22.747 new process pid=81756 exe=conhost.exe ppid=80068 created= path=
